Equipe,MÍDIAS,COMENTÁRIOS,VISUALIZAÇÕES,VISITANTES,ADMINS
1,77,18,10187,290,9
2,41,12,7036,533,3
3,100,28,6511,571,7
4,54,31,7669,236,9
5,48,16,6945,154,6
6,40,14,4607,312,7
7,38,2,4768,97,3
8,13,1,1884,95,8
9,55,0,1076,151,3
10,16,0,1463,47,5
11,4,3,775,123,10
12,21,0,853,90,6
13,40,4,391,106,6
14,49,0,391,111,8
15,36,0,332,104,2
16,19,0,488,81,5
17,30,2,291,80,10
18,40,0,161,82,2
19,4,0,192,68,3
20,5,0,113,43,6
21,5,0,71,41,3
22,0,0,57,26,2
23,0,0,31,21,2
24,0,0,38,20,2
25,18,0,3,2,6
